Code,Tile,Author,URL,Year
FIC_113,Tarzan of the Apes,"Burroughs, Edgar Rice",https://www.gutenberg.org/ebooks/78,2008
DRA_17,Uncle Vanya: Scenes from Country Life in Four Acts,"Chekhov, Anton Pavlovich",https://www.gutenberg.org/ebooks/1756,1999
FIC_114,The Social Cancer: A Complete English Version of Noli Me Tangere,"Rizal, Jose",https://www.gutenberg.org/ebooks/6737,2007
FIC_115,Gargantua and Pantagruel,"Rabelais, Francois",https://www.gutenberg.org/ebooks/1200,2004
FIC_116,"The Life and Opinions of Tristram Shandy, Gentleman","Sterne, Laurence",https://www.gutenberg.org/ebooks/1079,1997
POE_11,The Ladies Delight,Anonymous,https://www.gutenberg.org/ebooks/14005,2004
BIO_11,"The Lives of the Twelve Caesars, Complete",Suetonius,https://www.gutenberg.org/ebooks/6400,2006
FIC_117,Second Variety,"Dick, Philip K.",https://www.gutenberg.org/ebooks/32032,2010
PHI_9,The Consolation of Philosophy,Boethius,https://www.gutenberg.org/ebooks/14328,2004
POE_12,The Poetics of Aristotle,Aristotle,https://www.gutenberg.org/ebooks/1974,1999
ENG_16,Ghosts,"Ibsen, Henrik",https://www.gutenberg.org/ebooks/8121,2005
FIC_118,Struwwelpeter: Merry Stories and Funny Pictures,"Hoffmann, Heinrich",https://www.gutenberg.org/ebooks/12116,2004
FIC_119,Youth,"Asimov, Isaac",https://www.gutenberg.org/ebooks/31547,2010
FIC_120,Plain Tales from the Hills,"Kipling, Rudyard",https://www.gutenberg.org/ebooks/1858,1999
FIC_121,The Invisible Man: A Grotesque Romance,"Wells, H. G. (Herbert George)",https://www.gutenberg.org/ebooks/5230,2004
FIC_122,Beasts and Super-Beasts,Saki,https://www.gutenberg.org/ebooks/269,2011
FIC_123,A Journey to the Centre of the Earth,"Verne, Jules",https://www.gutenberg.org/ebooks/18857,2006
FIC_124,Ivanhoe: A Romance,"Scott, Walter",https://www.gutenberg.org/ebooks/82,1993
FIC_125,Notre-Dame De Paris,"Hugo, Victor",https://www.gutenberg.org/ebooks/2610,2001
FIC_126,The Valley of Fear,"Doyle, Arthur Conan",https://www.gutenberg.org/ebooks/3289,2002
FIC_127,The Island of Doctor Moreau,"Wells, H. G. (Herbert George)",https://www.gutenberg.org/ebooks/159,2004
FAN_4,Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson,"Carroll, Lewis",https://www.gutenberg.org/ebooks/28885,2009
FIC_128,The Last of the Mohicans; A narrative of 1757,"Cooper, James Fenimore",https://www.gutenberg.org/ebooks/940,2006
FIC_6,The Adventures of Pinocchio,"Collodi, Carlo",https://www.gutenberg.org/ebooks/500,2006
ENG_17,"The Spectator, Volumes 1, 2 and 3: With Translations and Index for the Series","Steele, Richard, Sir",https://www.gutenberg.org/ebooks/12030,2004
FIC_129,The Jungle Book,"Kipling, Rudyard",https://www.gutenberg.org/ebooks/35997,2011
ENG_18,Aesop's Fables; a new translation,Aesop,https://www.gutenberg.org/ebooks/11339,2004
POE_13,"Chaucer's Works, Volume 4 (of 7) — The Canterbury Tales","Chaucer, Geoffrey",https://www.gutenberg.org/ebooks/22120,2007
FIC_130,White Fang,"London, Jack",https://www.gutenberg.org/ebooks/910,2005
FIC_131,"Mosses from an Old Manse, and Other Stories","Hawthorne, Nathaniel",https://www.gutenberg.org/ebooks/512,1996
FIC_132,The Mayor of Casterbridge,"Hardy, Thomas",https://www.gutenberg.org/ebooks/143,2007
POE_14,The Waste Land,"Eliot, T. S. (Thomas Stearns)",https://www.gutenberg.org/ebooks/1321,1922
FIC_133,My Antonia,"Cather, Willa",https://www.gutenberg.org/ebooks/242,2008
PHI_10,Apology,Plato,https://www.gutenberg.org/ebooks/1656,1999
FIC_134,"Bartleby, the Scrivener: A Story of Wall-Street","Melville, Herman",https://www.gutenberg.org/ebooks/11231,2004
FIC_135,Far from the Madding Crowd,"Hardy, Thomas",https://www.gutenberg.org/ebooks/27,1992
HIS_5,History of the Decline and Fall of the Roman Empire — Volume 1,"Gibbon, Edward",https://www.gutenberg.org/ebooks/731,1996
FIC_136,The Lady with the Dog and Other Stories,"Chekhov, Anton Pavlovich",https://www.gutenberg.org/ebooks/13415,2004
FIC_137,The Secret Agent: A Simple Tale,"Conrad, Joseph",https://www.gutenberg.org/ebooks/974,2010
FAN_5,The Raven,"Poe, Edgar Allan",https://www.gutenberg.org/ebooks/17192,2005
ENG_19,The Iliad,Homer,https://www.gutenberg.org/ebooks/2199,2000
FIC_138,"The Mysterious Stranger, and Other Stories","Twain, Mark",https://www.gutenberg.org/ebooks/3186,2006
